,city,country,lat,lng,max temp,cloudiness,humidity,wind speed
266,boundiali,CI,9.53,9.53,78.15,6,61,2.17
267,paragominas,BR,-3.0,-3.0,76.75,60,89,4.25
268,cap malheureux,MU,-19.98,-19.98,76.55,40,94,6.93
269,fortuna,US,40.6,40.6,49.21,75,76,14.99
270,havre-saint-pierre,CA,50.23,50.23,33.8,90,100,5.82
271,greece,US,43.21,43.21,40.91,1,86,5.55
272,coahuayana,MX,18.62,18.62,76.95,14,75,1.1
273,manggar,ID,-2.88,-2.88,83.62,77,69,4.83
274,esna,RO,45.2,45.2,45.86,92,80,12.19
275,lasa,CY,34.92,34.92,65.79,20,52,12.75
276,gerash,IR,27.67,27.67,46.4,0,87,1.23
277,de-kastri,RU,51.48,51.48,12.76,0,67,14.74
278,stowe,US,44.47,44.47,32.38,40,80,3.36
279,haines junction,CA,60.75,60.75,5.4,100,95,5.17
280,christchurch,NZ,-43.53,-43.53,72.0,37,60,11.41
281,dikson,RU,73.51,73.51,2.23,97,87,8.46
282,floresta,BR,-8.6,-8.6,81.25,72,62,11.59
283,scarborough,GB,54.28,54.28,49.3,100,100,4.7
284,nova olinda do norte,BR,-3.89,-3.89,81.59,87,68,0.83
285,kirovskiy,RU,45.09,45.09,12.63,0,78,5.61
286,rio cuarto,AR,-33.13,-33.13,66.2,75,82,9.17
287,estacion coahuila,MX,32.19,32.19,68.9,1,30,13.87
288,santa isabel do rio negro,BR,-0.41,-0.41,80.22,61,73,2.3
289,faanui,PF,-16.48,-16.48,82.6,85,75,10.83
290,qrendi,MT,35.83,35.83,60.04,40,93,12.75
291,aripuana,BR,-9.17,-9.17,78.94,55,73,1.57
292,leirvik,NO,59.78,59.78,42.96,100,87,6.93
293,cidreira,BR,-30.17,-30.17,69.67,41,74,30.74
294,mbouda,CM,5.63,5.63,64.27,15,86,1.81
295,sapucaia,BR,-21.99,-21.99,64.44,98,91,5.28
296,broken hill,AU,-31.97,-31.97,64.4,23,25,24.16
297,rayong,TH,12.68,12.68,80.91,61,64,6.93
298,muravlenko,RU,63.79,63.79,-1.25,97,93,21.56
299,ostrovnoy,RU,68.05,68.05,24.35,90,96,8.66
300,yerbogachen,RU,61.28,61.28,-15.18,89,94,9.93
301,luquillo,PR,18.37,18.37,79.0,1,83,3.36
302,hukuntsi,BW,-23.98,-23.98,76.77,0,6,9.84
303,huambo,AO,-12.78,-12.78,61.43,100,91,1.36
304,buraydah,SA,26.33,26.33,59.0,0,100,3.36
305,byron bay,AU,-28.65,-28.65,85.6,17,54,19.46
306,esso,RU,55.93,55.93,4.3,98,93,9.64
307,mocuba,MZ,-16.84,-16.84,76.1,100,90,0.36
308,ixtapa,MX,20.71,20.71,82.2,90,74,8.05
309,quimper,FR,48.0,48.0,52.02,90,93,10.29
310,thompson,CA,55.74,55.74,19.4,90,92,6.93
311,macklin,CA,52.34,52.34,29.12,100,85,9.82
312,kahului,US,20.89,20.89,82.18,20,46,6.93
313,muros,ES,42.77,42.77,60.03,90,93,18.34
314,kaohsiung,TW,22.62,22.62,75.65,75,69,2.24
315,bandarbeyla,SO,9.49,9.49,80.47,100,76,21.41
316,vilyuysk,RU,63.75,63.75,-25.85,61,94,9.89
317,lafia,NG,8.5,8.5,78.94,4,39,2.3
318,tazmalt,DZ,36.39,36.39,53.6,40,87,3.36
319,eydhafushi,MV,5.1,5.1,83.5,96,77,16.13
320,mount pleasant,US,33.16,33.16,64.74,1,77,5.82
321,port macquarie,AU,-31.43,-31.43,90.46,0,29,8.05
322,shimoda,JP,34.7,34.7,49.44,75,87,23.04
323,sayyan,YE,15.17,15.17,55.81,79,72,5.93
324,cockburn town,TC,21.46,21.46,81.61,3,61,2.84
